,Iter,Val Start,Val End,Model Used,a2c_99 Sharpe,ppo_99 Sharpe,sac_99 Sharpe,td3_99 Sharpe,ddpg_99 Sharpe
0,126,2019-10-07,2020-01-08,td3_85,6.0768271725817415,6.234487653891349,4.366060109686956,5.995590669509872,6.0737927397088045
1,189,2020-01-08,2020-04-08,td3_85,-4.028099892386451,-3.3660457579677927,-2.778025664271881,-2.6660091801886026,-2.799566958220676
2,252,2020-04-08,2020-07-09,ppo_85,0.5865498468179825,0.20301064006272876,-0.8587327410078771,-0.25998109637621203,-0.3961768708096219
3,315,2020-07-09,2020-10-07,ppo_99,1.9794822295467367,2.6749960389934504,1.269299114303779,2.2891417072993536,1.4050396127895108
4,378,2020-10-07,2021-01-07,td3_85,0.9811106698401169,0.20352720981383443,0.87753756443034,0.4153059162542924,-0.14646432995905273
5,441,2021-01-07,2021-04-09,ddpg_99,-1.4511440361769559,-1.6311175025911266,0.4841786694169403,0.5288595684956524,2.451299783084921
6,504,2021-04-09,2021-07-09,ddpg_99,1.604920030609368,1.318655886402299,-1.486481710262271,1.1129847285598071,1.778114113548912
7,567,2021-07-09,2021-10-07,ppo_85,1.6748354965319405,1.646921308188334,0.6987334518762193,1.7152799064734037,1.6221901052256475
8,630,2021-10-07,2022-01-06,ddpg_99,-2.6074226517485517,-2.27858724028106,0.36013110048450114,-0.5490367212750485,1.272546294743334
9,693,2022-01-06,2022-04-07,sac_99,-3.892584753672284,-4.035158161250239,-3.8051361977729288,-4.233678792781875,-4.126494149892176
10,756,2022-04-07,2022-07-11,ppo_99,-2.2803008448238904,-2.1460798469430165,-3.3414259258208423,-3.0070366380218716,-2.5779220731966657
11,815,2022-07-05,2022-10-03,td3_85,-3.2885909963563775,-3.2089863968861803,-1.2335657960177437,-1.688763448625038,-1.7186536318157166
